"CNPJ_Companhia","Data_Referencia","Versao","ID_Documento","Quantidade_Acionistas_PF","Quantidade_Acionistas_PJ","Quantidade_Acionistas_Investidores_Institucionais","Quantidade_Acoes_Ordinarias_Circulacao","Percentual_Acoes_Ordinarias_Circulacao","Quantidade_Acoes_Preferenciais_Circulacao","Percentual_Acoes_Preferenciais_Circulacao","Quantidade_Total_Acoes_Circulacao","Percentual_Total_Acoes_Circulacao","Data_Ultima_Assembleia"
"02.328.280/0001-97","2021-01-01",7,109687,1130,24,8,25147,0.027369,598697,0.587659,623844,0.321969,"2021-04-09"
"02.338.534/0001-58","2021-01-01",1,109555,6,3,2,24013,0.4949,0,0,24013,0.4949,"2012-05-03"
"02.351.144/0001-18","2021-01-01",5,110833,14409,81,248,32001480,48.485,0,0,32001480,48.485,"2021-04-13"
"02.351.877/0001-52","2021-01-01",8,110592,63593,1011,900,431783548,73.235591,0,0,431783548,73.235591,"2021-05-11"
"02.357.251/0001-53","2021-01-01",2,108748,0,5,0,0,0,0,0,0,0,"2021-04-19"
"02.365.069/0001-44","2021-01-01",3,108695,4842,25,32,34893806,44.48,0,0,34893806,44.48,"2021-03-31"
"02.382.073/0001-10","2021-01-01",3,106383,0,2,0,1,0,0,0,1,0,"2021-04-29"
"02.387.241/0001-60","2021-01-01",6,108983,80106,2276,46,1216056103,65.57,0,0,1216056103,65.57,"2021-04-27"
"02.397.080/0001-96","2021-01-01",5,108470,0,2,0,0,0,0,0,0,0,"2021-04-06"
"02.415.408/0001-50","2021-01-01",2,108242,0,1,0,0,0,0,0,0,0,"2001-07-26"
"02.421.421/0001-11","2021-01-01",5,111021,1259476,229157,83,808619532,33.402927,0,0,808619532,33.402927,"2021-03-31"
"02.429.144/0001-93","2021-01-01",2,108760,26667,4825,1100,187732538,16.29,0,0,187732538,16.29,"2021-04-30"
"02.451.848/0001-62","2021-01-01",2,108244,0,1,0,0,0,0,0,0,0,"2021-04-05"
"02.474.103/0001-19","2021-01-01",6,109470,232303,8121,980,255217329,31.279403,0,0,255217329,31.279403,"2021-04-28"
"02.502.844/0001-66","2021-01-01",1,105683,0,1,0,0,0,0,0,0,0,"2019-04-30"
"02.509.186/0001-34","2021-01-01",2,109509,0,1,0,610000,100,0,0,610000,100,"2018-04-20"
"02.509.491/0001-26","2021-01-01",9,110612,0,1,0,0,0,0,0,0,0,"2021-04-27"
"02.558.157/0001-62","2021-01-01",7,110777,1460877,254123,4700,433476952,25.635,0,0,433476952,25.635,"2021-04-15"
"02.560.878/0001-07","2021-01-01",2,110709,0,1,0,0,0,0,0,0,0,"2021-06-09"
"02.591.787/0001-39","2021-01-01",5,109573,22,20,0,933,0.655,0,0,933,0.651364,"2016-04-29"
"02.635.522/0001-95","2021-03-31",8,104794,10827,147,201,97713448,33.024,0,0,97713448,33.024,"2021-01-14"
"02.643.896/0001-52","2021-01-01",1,105291,0,1,0,0,0,0,0,0,0,"2018-04-28"
"02.664.042/0001-52","2021-01-01",1,104907,0,2,0,0,0,0,0,0,0,"2013-04-16"
"02.682.287/0001-02","2021-01-01",1,105657,0,2,0,11000,100,0,0,11000,100,"2021-04-29"
"02.724.983/0001-34","2021-01-01",1,105061,0,1,0,0,0,0,0,0,0,"2020-12-28"
"02.736.470/0001-43","2021-01-01",1,108212,0,1,0,0,0,0,0,0,0,"2021-07-12"
"02.762.113/0001-50","2021-01-01",4,108238,0,1,0,0,0,0,0,0,0,"2021-04-29"
"02.762.121/0001-04","2021-01-01",4,109280,70389,222,474,858126173,99.454774,0,0,858126173,99.454774,"2021-10-25"
"02.762.124/0001-30","2021-01-01",1,104995,4,0,0,1,100,0,0,1,100,"2014-04-28"
"02.773.542/0001-22","2021-01-01",5,109186,0,1,0,0,0,0,0,0,1e-06,"2021-04-09"
"02.783.423/0001-50","2021-01-01",1,105727,2,0,0,36218984,100,0,0,36218984,100,"2020-04-30"
"02.796.775/0001-40","2021-01-01",2,109251,0,2,1,0,0,0,0,0,0,"2015-04-27"
"02.800.026/0001-40","2021-01-01",6,110770,303409,2316,329,1828106676,97.415572,0,0,1828106676,97.415572,"2021-04-30"
"02.846.056/0001-97","2021-01-01",11,110562,53645,397,1164,1115693556,55.232354,0,0,1115693556,55.232354,"2021-04-08"
"02.860.694/0001-62","2021-01-01",5,108612,15052,143,23,34484939,51.155013,0,0,34484939,51.155013,"2021-04-30"
"02.916.265/0001-60","2021-01-01",6,110866,95449,1732,1007,1290736673,54.372756,0,0,1290736673,54.372756,"2021-04-28"
"02.919.555/0001-67","2021-01-01",1,104959,0,4,0,0,0,0,0,0,0,"2017-06-14"
"02.932.074/0001-91","2021-01-01",2,108639,60760,882,673,410253528,64.77,0,0,410253528,64.77,"2021-07-30"
"02.950.811/0001-89","2021-01-01",8,109132,9534,108,51,56133457,100,0,0,56133457,100,"2021-06-14"
"02.992.449/0001-09","2021-01-01",1,105000,0,1,2,0,0,0,0,0,0,"2021-04-30"
"02.998.301/0001-81","2021-01-01",3,110841,11170,229,26,297036,0.94,3300250,5.24,3597286,3.81,"2021-04-30"
"02.998.611/0001-04","2021-01-01",3,108649,168627,759,1524,27080900,10.499007,395797044,98.715904,422877944,64.181008,"2021-03-25"
"03.014.553/0001-91","2021-01-01",2,107396,12683,101,1,74237233,42.180246,0,0,74237233,42.180246,"2021-04-30"
"03.025.305/0001-46","2021-01-01",2,109545,0,1,0,74220000,100,0,0,74220000,100,"2012-06-29"
"03.207.703/0001-83","2021-01-01",2,105206,0,2,0,0,0,0,0,0,0,"2016-04-29"
"03.220.438/0001-73","2021-01-01",5,108234,62078,2174,1721,1010511085,100,0,0,1010511085,100,"2021-04-30"
"03.303.999/0001-36","2021-01-01",1,104554,579,6,0,225512,2.1114,0,0,225512,2.033,"2021-04-30"
"03.342.704/0001-30","2021-01-01",12,111015,4676,34,232,231316650,93.078759,0,0,231316650,93.078759,"2021-07-30"
"03.378.521/0001-75","2021-01-01",14,111006,26265,10263,872,372555324,100,0,0,372555324,100,"2021-04-29"
"03.467.321/0001-99","2021-01-01",2,110906,250,59,14,4383194,5.8,1063437,0.74,5446631,2.49,"2021-04-28"
"03.494.776/0001-01","2021-01-01",4,111025,0,1,0,0,0,0,0,0,0,"2021-07-27"
"03.538.833/0001-07","2021-01-01",2,111013,1,0,1,0,0,0,0,0,0,"2020-03-31"
"03.758.318/0001-24","2021-01-01",11,110315,0,1,3,71528562,50,143057122,50,214585684,50,"2021-01-26"
"03.767.538/0001-14","2021-01-01",5,109134,0,1,0,0,0,0,0,0,0,"2021-04-29"
"03.795.050/0001-09","2021-01-01",2,105906,0,1,0,0,0,0,0,0,0,"2021-04-06"
"03.802.115/0001-98","2021-01-01",9,110478,10504,201,218,53512890,28.475503,0,0,53512890,28.475503,"2021-10-31"
"03.818.379/0001-30","2021-01-01",1,105277,0,3,0,0,0,0,0,0,0,"2019-12-17"
"03.847.461/0001-92","2021-01-01",6,111002,113876,10910,533,30390142,22.0235,251414753,98.5528,281804895,71.6885,"2021-12-20"
"03.853.896/0001-40","2021-01-01",3,106627,67332,594,827,348234011,48.952592,0,0,348234011,48.922592,"2021-04-30"
"03.953.509/0001-47","2021-01-01",1,104865,0,1,0,0,0,0,0,0,0,"2021-04-26"
"03.983.431/0001-03","2021-01-01",6,110404,270222,0,1658,230931405,38.054092,0,0,230931405,38.054092,"2021-03-31"
"04.030.182/0001-02","2021-01-01",2,108722,1,1,0,2458000,100,4916000,100,7374000,100,"2016-07-05"
"04.031.213/0001-31","2021-01-01",2,108719,1,1,0,703211,100,1406542,100,2109753,0,"2016-06-20"
"04.032.433/0001-80","2021-01-01",7,110824,3704,37,27,7165798,26.889,0,0,7165798,26.889,"2021-04-26"
"04.038.763/0001-82","2021-01-01",3,108715,1,1,0,686869,0,1373254,0,2060123,100,"2016-06-20"
"04.065.791/0001-99","2021-01-01",7,110396,109055,345,198,72771546,82.75,0,0,72771546,82.75,"2021-04-29"
"04.069.709/0001-02","2021-01-01",2,105797,6,3,0,41007292,30.96,0,0,41007292,30.96,"2021-02-15"
"04.089.570/0001-50","2021-01-01",3,106908,0,2,0,1,0,0,0,1,0,"2021-04-29"
"04.128.563/0001-10","2021-01-01",3,110458,0,1,0,0,0,0,0,0,0,"2021-04-30"
"04.149.454/0001-80","2021-01-01",19,110796,35050,484,179,339237914,48.718,0,0,339237914,48.718,"2021-04-28"
"04.172.213/0001-51","2021-01-01",2,109135,0,1,0,0,0,0,0,0,0,"2021-04-29"
"04.200.649/0001-07","2021-01-01",15,110817,2,0,0,820000,100,0,0,820000,100,"2020-10-09"
